id,name,path,level,parent_id
143,it形式宾语,语法 > 词法 > 代词 > 代词it的用法 > it形式宾语,5,141
144,it指代上文提到的事物、群体,语法 > 词法 > 代词 > 代词it的用法 > it指代上文提到的事物、群体,5,141
145,it指天气、时间、距离等,语法 > 词法 > 代词 > 代词it的用法 > it指天气、时间、距离等,5,141
146,数词,语法 > 词法 > 数词,3,38
147,基数词,语法 > 词法 > 数词 > 基数词,4,146
148,序数词,语法 > 词法 > 数词 > 序数词,4,146
149,分数、小数、百分数,语法 > 词法 > 数词 > 分数、小数、百分数,4,146
150,倍数表达法,语法 > 词法 > 数词 > 倍数表达法,4,146
151,时间表达法,语法 > 词法 > 数词 > 时间表达法,4,146
152,数量有关的名词、代词及其他,语法 > 词法 > 数词 > 数量有关的名词、代词及其他,4,146
153,介词,语法 > 词法 > 介词,3,38
154,at的用法,语法 > 词法 > 介词 > at的用法,4,153
155,about的用法,语法 > 词法 > 介词 > about的用法,4,153
156,as的用法,语法 > 词法 > 介词 > as的用法,4,153
157,in的用法,语法 > 词法 > 介词 > in的用法,4,153
158,with的用法,语法 > 词法 > 介词 > with的用法,4,153
159,without的用法,语法 > 词法 > 介词 > without的用法,4,153
160,by的用法,语法 > 词法 > 介词 > by的用法,4,153
161,for的用法,语法 > 词法 > 介词 > for的用法,4,153
162,of的用法,语法 > 词法 > 介词 > of的用法,4,153
163,off的用法,语法 > 词法 > 介词 > off的用法,4,153
164,from的用法,语法 > 词法 > 介词 > from的用法,4,153
165,on的用法,语法 > 词法 > 介词 > on的用法,4,153
166,over的用法,语法 > 词法 > 介词 > over的用法,4,153
167,to的用法,语法 > 词法 > 介词 > to的用法,4,153
168,under的用法,语法 > 词法 > 介词 > under的用法,4,153
169,above的用法,语法 > 词法 > 介词 > above的用法,4,153
170,below的用法,语法 > 词法 > 介词 > below的用法,4,153
171,beyond的用法,语法 > 词法 > 介词 > beyond的用法,4,153
172,except的用法,语法 > 词法 > 介词 > except的用法,4,153
173,before的用法,语法 > 词法 > 介词 > before的用法,4,153
174,behind的用法,语法 > 词法 > 介词 > behind的用法,4,153
175,after的用法,语法 > 词法 > 介词 > after的用法,4,153
176,through的用法,语法 > 词法 > 介词 > through的用法,4,153
177,across的用法,语法 > 词法 > 介词 > across的用法,4,153
178,among的用法,语法 > 词法 > 介词 > among的用法,4,153
179,between的用法,语法 > 词法 > 介词 > between的用法,4,153
180,during的用法,语法 > 词法 > 介词 > during的用法,4,153
181,around的用法,语法 > 词法 > 介词 > around的用法,4,153
182,inside的用法,语法 > 词法 > 介词 > inside的用法,4,153
183,outside的用法,语法 > 词法 > 介词 > outside的用法,4,153
184,near的用法,语法 > 词法 > 介词 > near的用法,4,153
185,beside的用法,语法 > 词法 > 介词 > beside的用法,4,153
186,along的用法,语法 > 词法 > 介词 > along的用法,4,153
187,toward的用法,语法 > 词法 > 介词 > toward的用法,4,153
188,past的用法,语法 > 词法 > 介词 > past的用法,4,153
189,其他介词,语法 > 词法 > 介词 > 其他介词,4,153
190,连词,语法 > 词法 > 连词,3,38
191,并列连词,语法 > 词法 > 连词 > 并列连词,4,190
192,表因果的并列连词,语法 > 词法 > 连词 > 并列连词 > 表因果的并列连词,5,191
193,表转折的并列连词,语法 > 词法 > 连词 > 并列连词 > 表转折的并列连词,5,191
194,表选择的并列连词,语法 > 词法 > 连词 > 并列连词 > 表选择的并列连词,5,191
195,表递进顺承的并列连词,语法 > 词法 > 连词 > 并列连词 > 表递进顺承的并列连词,5,191
196,从属连词,语法 > 词法 > 连词 > 从属连词,4,190
197,冠词,语法 > 词法 > 冠词,3,38
198,定冠词,语法 > 词法 > 冠词 > 定冠词,4,197
199,不定冠词,语法 > 词法 > 冠词 > 不定冠词,4,197
200,零冠词,语法 > 词法 > 冠词 > 零冠词,4,197
201,有无冠词搭配辨析,语法 > 词法 > 冠词 > 有无冠词搭配辨析,4,197
202,句法,语法 > 句法,2,37
203,简单句,语法 > 句法 > 简单句,3,202
204,句子和句子成分,语法 > 句法 > 句子和句子成分,3,202
205,句子成分（按功能分类）,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类）,4,204
206,主语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 主语,5,205
207,谓语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 谓语,5,205
208,宾语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 宾语,5,205
209,表语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 表语,5,205
210,定语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 定语,5,205
211,状语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 状语,5,205
212,补语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 补语,5,205
213,同位语,语法 > 句法 > 句子和句子成分 > 句子成分（按功能分类） > 同位语,5,205
214,基本句型,语法 > 句法 > 句子和句子成分 > 基本句型,4,204
215,主谓,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓,5,214
216,主谓宾,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓宾,5,214
217,主系表,语法 > 句法 > 句子和句子成分 > 基本句型 > 主系表,5,214
218,主谓宾宾,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓宾宾,5,214
219,主谓宾补,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓宾补,5,214
220,主谓状,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓状,5,214
221,主谓宾状,语法 > 句法 > 句子和句子成分 > 基本句型 > 主谓宾状,5,214
222,there be句型或存现句,语法 > 句法 > 句子和句子成分 > 基本句型 > there be句型或存现句,5,214
223,陈述句,语法 > 句法 > 句子和句子成分 > 陈述句,4,204
224,祈使句,语法 > 句法 > 句子和句子成分 > 祈使句,4,204
225,疑问句,语法 > 句法 > 句子和句子成分 > 疑问句,4,204
226,一般疑问句,语法 > 句法 > 句子和句子成分 > 疑问句 > 一般疑问句,5,225
227,特殊疑问句,语法 > 句法 > 句子和句子成分 > 疑问句 > 特殊疑问句,5,225
228,选择疑问句,语法 > 句法 > 句子和句子成分 > 疑问句 > 选择疑问句,5,225
229,附加疑问句,语法 > 句法 > 句子和句子成分 > 疑问句 > 附加疑问句,5,225
230,感叹句,语法 > 句法 > 句子和句子成分 > 感叹句,4,204
231,what引导的感叹句,语法 > 句法 > 句子和句子成分 > 感叹句 > what引导的感叹句,5,230
232,how引导的感叹句,语法 > 句法 > 句子和句子成分 > 感叹句 > how引导的感叹句,5,230
233,谓语动词的时态,语法 > 句法 > 谓语动词的时态,3,202
234,一般现在时,语法 > 句法 > 谓语动词的时态 > 一般现在时,4,233
235,一般过去时,语法 > 句法 > 谓语动词的时态 > 一般过去时,4,233
236,一般将来时,语法 > 句法 > 谓语动词的时态 > 一般将来时,4,233
237,过去将来时,语法 > 句法 > 谓语动词的时态 > 过去将来时,4,233
238,现在完成时,语法 > 句法 > 谓语动词的时态 > 现在完成时,4,233
239,过去完成时,语法 > 句法 > 谓语动词的时态 > 过去完成时,4,233
240,将来完成时,语法 > 句法 > 谓语动词的时态 > 将来完成时,4,233
241,过去将来完成时,语法 > 句法 > 谓语动词的时态 > 过去将来完成时,4,233
242,现在进行时,语法 > 句法 > 谓语动词的时态 > 现在进行时,4,233
243,过去进行时,语法 > 句法 > 谓语动词的时态 > 过去进行时,4,233
244,将来进行时,语法 > 句法 > 谓语动词的时态 > 将来进行时,4,233
245,过去将来进行时,语法 > 句法 > 谓语动词的时态 > 过去将来进行时,4,233
246,现在完成进行时,语法 > 句法 > 谓语动词的时态 > 现在完成进行时,4,233
247,过去完成进行时,语法 > 句法 > 谓语动词的时态 > 过去完成进行时,4,233
248,将来完成进行时,语法 > 句法 > 谓语动词的时态 > 将来完成进行时,4,233
249,过去将来完成进行时,语法 > 句法 > 谓语动词的时态 > 过去将来完成进行时,4,233
250,时态辨析,语法 > 句法 > 谓语动词的时态 > 时态辨析,4,233
251,被动语态,语法 > 句法 > 被动语态,3,202
252,一般现在时的被动语态,语法 > 句法 > 被动语态 > 一般现在时的被动语态,4,251
253,一般过去时的被动语态,语法 > 句法 > 被动语态 > 一般过去时的被动语态,4,251
254,一般将来时的被动语态,语法 > 句法 > 被动语态 > 一般将来时的被动语态,4,251
255,过去将来时的被动语态,语法 > 句法 > 被动语态 > 过去将来时的被动语态,4,251
256,现在完成时的被动语态,语法 > 句法 > 被动语态 > 现在完成时的被动语态,4,251
257,过去完成时的被动语态,语法 > 句法 > 被动语态 > 过去完成时的被动语态,4,251
258,将来完成时的被动语态,语法 > 句法 > 被动语态 > 将来完成时的被动语态,4,251
259,过去将来完成时的被动语态,语法 > 句法 > 被动语态 > 过去将来完成时的被动语态,4,251
260,现在进行时的被动语态,语法 > 句法 > 被动语态 > 现在进行时的被动语态,4,251
261,过去进行时的被动语态,语法 > 句法 > 被动语态 > 过去进行时的被动语态,4,251
262,情态动词的被动语态,语法 > 句法 > 被动语态 > 情态动词的被动语态,4,251
263,主动表被动,语法 > 句法 > 被动语态 > 主动表被动,4,251
264,无被动语态的情况,语法 > 句法 > 被动语态 > 无被动语态的情况,4,251
265,省略to的不定式被动语态,语法 > 句法 > 被动语态 > 省略to的不定式被动语态,4,251
266,并列复合句,语法 > 句法 > 并列复合句,3,202
267,名词性从句,语法 > 句法 > 名词性从句,3,202
268,宾语从句,语法 > 句法 > 名词性从句 > 宾语从句,4,267
269,宾语从句连接词,语法 > 句法 > 名词性从句 > 宾语从句 > 宾语从句连接词,5,268
270,宾语从句的语序,语法 > 句法 > 名词性从句 > 宾语从句 > 宾语从句的语序,5,268
271,宾语从句的时态,语法 > 句法 > 名词性从句 > 宾语从句 > 宾语从句的时态,5,268
272,宾语从句的否定前移,语法 > 句法 > 名词性从句 > 宾语从句 > 宾语从句的否定前移,5,268
273,直接引语和间接引语,语法 > 句法 > 名词性从句 > 宾语从句 > 直接引语和间接引语,5,268
274,主语从句,语法 > 句法 > 名词性从句 > 主语从句,4,267
275,表语从句,语法 > 句法 > 名词性从句 > 表语从句,4,267
276,同位语从句,语法 > 句法 > 名词性从句 > 同位语从句,4,267
277,定语从句,语法 > 句法 > 定语从句,3,202
278,限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句,4,277
279,关系代词,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词,5,278
280,关系代词which引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词which引导的限制性定语从句,6,279
281,关系代词that引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词that引导的限制性定语从句,6,279
282,关系代词who引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词who引导的限制性定语从句,6,279
283,关系代词whom引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词whom引导的限制性定语从句,6,279
284,关系代词whose引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词whose引导的限制性定语从句,6,279
285,关系代词as引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系代词 > 关系代词as引导的限制性定语从句,6,279
286,关系副词,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系副词,5,278
287,关系副词when引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系副词 > 关系副词when引导的限制性定语从句,6,286
288,关系副词where引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系副词 > 关系副词where引导的限制性定语从句,6,286
289,关系副词why引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 关系副词 > 关系副词why引导的限制性定语从句,6,286
290,介词+关系代词引导的限制性定语从句,语法 > 句法 > 定语从句 > 限制性定语从句 > 介词+关系代词引导的限制性定语从句,5,278
291,非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句,4,277
292,关系代词,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词,5,291
293,关系代词which引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词 > 关系代词which引导的非限制性定语从句,6,292
294,关系代词who引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词 > 关系代词who引导的非限制性定语从句,6,292
295,关系代词whom引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词 > 关系代词whom引导的非限制性定语从句,6,292
296,关系代词whose引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词 > 关系代词whose引导的非限制性定语从句,6,292
297,关系代词as引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系代词 > 关系代词as引导的非限制性定语从句,6,292
298,关系副词,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系副词,5,291
299,关系副词when引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系副词 > 关系副词when引导的非限制性定语从句,6,298
300,关系副词where引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 关系副词 > 关系副词where引导的非限制性定语从句,6,298
301,介词+关系代词引导的非限制性定语从句,语法 > 句法 > 定语从句 > 非限制性定语从句 > 介词+关系代词引导的非限制性定语从句,5,291
302,状语从句,语法 > 句法 > 状语从句,3,202
303,时间状语从句,语法 > 句法 > 状语从句 > 时间状语从句,4,302
304,地点状语从句,语法 > 句法 > 状语从句 > 地点状语从句,4,302
305,原因状语从句,语法 > 句法 > 状语从句 > 原因状语从句,4,302
306,结果状语从句,语法 > 句法 > 状语从句 > 结果状语从句,4,302
307,目的状语从句,语法 > 句法 > 状语从句 > 目的状语从句,4,302
308,条件状语从句,语法 > 句法 > 状语从句 > 条件状语从句,4,302
309,让步状语从句,语法 > 句法 > 状语从句 > 让步状语从句,4,302
310,方式状语从句,语法 > 句法 > 状语从句 > 方式状语从句,4,302
311,比较状语从句,语法 > 句法 > 状语从句 > 比较状语从句,4,302
312,动词的非谓语形式,语法 > 句法 > 动词的非谓语形式,3,202
313,动名词,语法 > 句法 > 动词的非谓语形式 > 动名词,4,312
314,动名词的时态和语态,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的时态和语态,5,313
315,动名词一般式：doing,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的时态和语态 > 动名词一般式：doing,6,314
316,动名词完成式：having done,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的时态和语态 > 动名词完成式：having done,6,314
317,动名词的被动语态,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的时态和语态 > 动名词的被动语态,6,314
318,动名词的用法和意义,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义,5,313
319,动名词作主语,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义 > 动名词作主语,6,318
320,动名词作宾语,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义 > 动名词作宾语,6,318
321,动名词作表语,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义 > 动名词作表语,6,318
322,动名词作定语,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义 > 动名词作定语,6,318
323,动名词作补语,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词的用法和意义 > 动名词作补语,6,318
324,动名词复合结构,语法 > 句法 > 动词的非谓语形式 > 动名词 > 动名词复合结构,5,313
325,现在分词,语法 > 句法 > 动词的非谓语形式 > 现在分词,4,312
326,现在分词的时态和语态,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的时态和语态,5,325
327,现在分词一般式：doing,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的时态和语态 > 现在分词一般式：doing,6,326
328,现在分词完成式：having done,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的时态和语态 > 现在分词完成式：having done,6,326
329,现在分词的被动语态,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的时态和语态 > 现在分词的被动语态,6,326
330,现在分词的用法和意义,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义,5,325
331,现在分词表主动+进行,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词表主动+进行,6,330
332,现在分词作定语,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词作定语,6,330
333,现在分词作表语,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词作表语,6,330
334,现在分词作状语,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词作状语,6,330
335,现在分词作补语,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词作补语,6,330
336,现在分词的独立主格,语法 > 句法 > 动词的非谓语形式 > 现在分词 > 现在分词的用法和意义 > 现在分词的独立主格,6,330
337,过去分词的用法和意义,语法 > 句法 > 动词的非谓语形式 > 过去分词的用法和意义,4,312
338,过去分词表被动+完成,语法 > 句法 > 动词的非谓语形式 > 过去分词的用法和意义 > 过去分词表被动+完成,5,337
339,过去分词作定语,语法 > 句法 > 动词的非谓语形式 > 过去分词的用法和意义 > 过去分词作定语,5,337
